%Date     TimeOfDay    Altitude[m]  Pressure[mBar] Temperature[K]   RH[%]         WindSpeed[m/s]
2009-03-05 22:00   0.000000e+00   9.974000e+02   2.948700e+02   7.681000e+01   1.650000e+00
2009-03-05 22:00   4.977783e+02   9.432288e+02   3.031450e+02   2.817823e+01   3.665135e+00
2009-03-05 22:00   9.955566e+02   8.917232e+02   2.998029e+02   3.052610e+01   1.912125e+00
2009-03-05 22:00   1.493335e+03   8.425015e+02   2.964662e+02   3.203822e+01   3.503613e+00
2009-03-05 22:00   1.991113e+03   7.954135e+02   2.921329e+02   4.491686e+01   3.240084e+00
2009-03-05 22:00   2.488892e+03   7.503130e+02   2.877914e+02   5.442996e+01   3.249875e+00
2009-03-05 22:00   2.986670e+03   7.071068e+02   2.832657e+02   6.586022e+01   3.828161e+00
2009-03-05 22:00   3.484448e+03   6.657486e+02   2.788078e+02   6.602142e+01   5.144093e+00
2009-03-05 22:00   3.982226e+03   6.262008e+02   2.747848e+02   6.561486e+01   5.504891e+00
2009-03-05 22:00   4.480005e+03   5.884831e+02   2.713536e+02   6.399982e+01   5.675702e+00
2009-03-05 22:00   4.977783e+03   5.526010e+02   2.684854e+02   5.200100e+01   6.343744e+00
2009-03-05 22:00   5.475561e+03   5.185715e+02   2.659598e+02   2.838420e+01   5.993534e+00
2009-03-08 14:00   0.000000e+00   1.001600e+03   2.944500e+02   8.904000e+01   4.670000e+00
2009-03-08 14:00   4.953428e+02   9.451990e+02   2.901631e+02   9.803893e+01   8.931376e+00
2009-03-08 14:00   9.906857e+02   8.918278e+02   2.879764e+02   9.284642e+01   6.722291e+00
2009-03-08 14:00   1.486029e+03   8.410195e+02   2.856480e+02   8.861685e+01   4.202272e+00
2009-03-08 14:00   1.981371e+03   7.927322e+02   2.838057e+02   8.764400e+01   3.025133e+00
2009-03-08 14:00   2.476714e+03   7.469716e+02   2.828460e+02   5.469626e+01   1.965284e+00
2009-03-08 14:00   2.972057e+03   7.034450e+02   2.793567e+02   3.757901e+01   2.617595e+00
2009-03-08 14:00   3.467400e+03   6.618573e+02   2.758283e+02   2.618498e+01   2.970595e+00
2009-03-08 14:00   3.962743e+03   6.223102e+02   2.731283e+02   1.848380e+01   4.064484e+00
2009-03-08 14:00   4.458086e+03   5.847895e+02   2.706340e+02   1.654187e+01   5.105554e+00
2009-03-08 14:00   4.953428e+03   5.491954e+02   2.678185e+02   1.788156e+01   5.530268e+00
2009-03-08 14:00   5.448771e+03   5.153638e+02   2.643663e+02   2.219083e+01   5.899809e+00
2009-03-08 22:00   0.000000e+00   1.002100e+03   2.934200e+02   9.684000e+01   3.710000e+00
2009-03-08 22:00   4.957108e+02   9.457954e+02   2.907763e+02   9.909631e+01   9.784561e+00
2009-03-08 22:00   9.914215e+02   8.924367e+02   2.881511e+02   9.827151e+01   9.239576e+00
2009-03-08 22:00   1.487132e+03   8.415935e+02   2.858547e+02   9.010813e+01   8.521263e+00
2009-03-08 22:00   1.982843e+03   7.932883e+02   2.837910e+02   7.902741e+01   7.826983e+00
2009-03-08 22:00   2.478554e+03   7.473145e+02   2.812654e+02   7.209402e+01   6.377162e+00
2009-03-08 22:00   2.974265e+03   7.036362e+02   2.797065e+02   3.877215e+01   3.263782e+00
2009-03-08 22:00   3.469975e+03   6.621875e+02   2.770967e+02   2.252929e+01   2.726211e+00
2009-03-08 22:00   3.965686e+03   6.227437e+02   2.738035e+02   2.127966e+01   1.739089e+00
2009-03-08 22:00   4.461397e+03   5.852026e+02   2.703397e+02   2.732829e+01   2.618058e+00
2009-03-08 22:00   4.957108e+03   5.494888e+02   2.670533e+02   5.657898e+01   8.019838e+00
2009-03-08 22:00   5.452818e+03   5.155820e+02   2.639973e+02   7.433746e+01   7.595486e+00
2009-03-10 14:00   0.000000e+00   9.905000e+02   3.125000e+02   1.766000e+01   4.360000e+00
2009-03-10 14:00   4.964585e+02   9.373102e+02   3.040983e+02   2.661454e+01   6.225797e+00
2009-03-10 14:00   9.929169e+02   8.863623e+02   2.996117e+02   3.256036e+01   5.982258e+00
2009-03-10 14:00   1.489375e+03   8.374342e+02   2.948775e+02   4.047384e+01   5.878938e+00
2009-03-10 14:00   1.985834e+03   7.904853e+02   2.902153e+02   5.063308e+01   6.026361e+00
2009-03-10 14:00   2.482292e+03   7.454610e+02   2.855380e+02   6.363462e+01   6.445887e+00
2009-03-10 14:00   2.978751e+03   7.023167e+02   2.809288e+02   7.873390e+01   7.017780e+00
2009-03-10 14:00   3.475209e+03   6.610065e+02   2.775786e+02   5.702645e+01   1.068540e+01
2009-03-10 14:00   3.971668e+03   6.217656e+02   2.757146e+02   2.212729e+01   9.258017e+00
2009-03-10 14:00   4.468126e+03   5.845920e+02   2.739311e+02   1.005124e+01   6.591318e+00
2009-03-10 14:00   4.964585e+03   5.493725e+02   2.714608e+02   1.208377e+01   5.329462e+00
2009-03-10 14:00   5.461043e+03   5.159296e+02   2.684027e+02   2.249325e+01   4.179957e+00
2009-07-08 08:00   0.000000e+00   1.000400e+03   2.811100e+02   5.954000e+01   2.930000e+00
2009-07-08 08:00   4.897905e+02   9.450287e+02   2.930571e+02   1.854201e+01   7.567158e+00
2009-07-08 08:00   9.795809e+02   8.925347e+02   2.911834e+02   1.690643e+01   1.063037e+01
2009-07-08 08:00   1.469371e+03   8.424668e+02   2.876010e+02   1.816829e+01   1.636890e+01
2009-07-08 08:00   1.959162e+03   7.946196e+02   2.840819e+02   1.868507e+01   1.814227e+01
2009-07-08 08:00   2.448952e+03   7.489673e+02   2.807907e+02   1.917987e+01   1.640549e+01
2009-07-08 08:00   2.938743e+03   7.054158e+02   2.772420e+02   2.157265e+01   1.496127e+01
2009-07-08 08:00   3.428533e+03   6.638627e+02   2.737529e+02   2.560566e+01   1.429876e+01
2009-07-08 08:00   3.918324e+03   6.242893e+02   2.700949e+02   3.017652e+01   1.431147e+01
2009-07-08 08:00   4.408114e+03   5.866200e+02   2.668214e+02   3.085489e+01   1.479573e+01
2009-07-08 08:00   4.897905e+03   5.507753e+02   2.642031e+02   2.323092e+01   1.646977e+01
2009-07-08 08:00   5.387695e+03   5.168125e+02   2.611717e+02   1.579956e+01   1.891507e+01
2009-07-22 08:00   0.000000e+00   1.003800e+03   2.822100e+02   9.574000e+01   2.100000e+00
2009-07-22 08:00   4.861889e+02   9.467664e+02   2.829000e+02   9.771748e+01   7.854783e+00
2009-07-22 08:00   9.723779e+02   8.927136e+02   2.798758e+02   9.853827e+01   8.009606e+00
2009-07-22 08:00   1.458567e+03   8.411825e+02   2.767989e+02   9.831558e+01   7.364381e+00
2009-07-22 08:00   1.944756e+03   7.920833e+02   2.739612e+02   9.445560e+01   7.257675e+00
2009-07-22 08:00   2.430945e+03   7.453975e+02   2.714926e+02   8.254030e+01   7.982805e+00
2009-07-22 08:00   2.917134e+03   7.010318e+02   2.693522e+02   5.624412e+01   1.157166e+01
2009-07-22 08:00   3.403323e+03   6.590877e+02   2.684548e+02   5.883997e+00   1.252653e+01
2009-07-22 08:00   3.889512e+03   6.194132e+02   2.663359e+02   1.303286e+00   1.354273e+01
2009-07-22 08:00   4.375701e+03   5.817589e+02   2.630019e+02   1.264388e+00   1.491117e+01
2009-07-22 08:00   4.861889e+03   5.459318e+02   2.591262e+02   1.684261e+00   1.679428e+01
2009-07-22 08:00   5.348078e+03   5.117883e+02   2.554055e+02   2.645817e+00   1.929983e+01
