"PVWatts: Hourly PV Performance Data"
"Requested Location:","johannesburg south africa"
"Location:","HARARE, ZIMBABWE"
"Lat (deg S):","17.92"
"Long (deg E):","31.13"
"Elev (m):","1503"
"DC System Size (kW):","3"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","30"
"Array Azimuth (deg):","0"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","1.85"
"Initial Cost","40.00"
"Cost of Electricity Generated by System ($/kWh):","1.88"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","17.9","1.5","0","17.9","0","0"
"1","1","1","0","0","17.5","1.5","0","17.5","0","0"
"1","1","2","0","0","17.1","1.2","0","17.1","0","0"
"1","1","3","0","0","16.8","0.8","0","16.8","0","0"
"1","1","4","0","0","16.3","0.5","0","16.3","0","0"
"1","1","5","0","7","15.8","2.6","6.303","14.157","17.09","0.084"
"1","1","6","69","81","17.7","3.9","70.162","17.769","181.298","161.154"
"1","1","7","73","207","19.3","5.1","198.619","21.998","508.756","481.438"
"1","1","8","101","333","20.8","4.1","341.081","27.196","863.19","826.736"
"1","1","9","204","379","22.2","3.1","471.423","32.594","1166.369","1120.967"
"1","1","10","119","555","23.7","2.1","588.663","38.763","1418.958","1365.303"
"1","1","11","97","584","24.1","2.4","606.376","39.319","1458.473","1403.462"
"1","1","12","79","567","24.4","2.8","576.445","38.25","1394.042","1341.234"
"1","1","13","65","508","24.8","3.1","506.051","36.529","1233.986","1186.446"
"1","1","14","103","403","24.8","3.8","425.911","33.872","1049.687","1007.852"
"1","1","15","87","316","24.9","4.4","319.408","31.123","793.683","759.133"
"1","1","16","47","213","24.9","5.1","195.601","28.036","490.537","463.651"
"1","1","17","34","97","23.8","4.3","80.897","24.597","206.688","186.031"
"1","1","18","0","7","22.7","3.4","6.303","21.571","16.525","0"
"1","1","19","0","0","21.5","2.6","0","21.5","0","0"
"1","1","20","0","0","20.4","1.7","0","20.4","0","0"
"1","1","21","0","0","19.3","0.8","0","19.3","0","0"
"1","1","22","0","0","18.2","0","0","18.2","0","0"
"1","1","23","0","0","17.9","0","0","17.9","0","0"
"1","2","0","0","0","17.6","0","0","17.6","0","0"
"1","2","1","0","0","17.3","0","0","17.3","0","0"
"1","2","2","0","0","17","0","0","17","0","0"
"1","2","3","0","0","16.1","0","0","16.1","0","0"
"1","2","4","0","0","15.3","0","0","15.3","0","0"
"1","2","5","0","9","15.8","0","8.11","12.375","22.166","5.067"
"1","2","6","119","92","17.2","0.2","79.921","17.37","203.723","183.126"
"1","2","7","99","241","18.6","0.4","232.168","25.351","583.403","554.28"
"1","2","8","142","333","20","0.6","360.402","31.583","890.411","853.196"
"1","2","9","174","381","21.4","0.8","453.828","35.893","1105.471","1061.95"
"1","2","10","64","511","22.8","1","508.326","38.599","1226.82","1179.51"
"1","2","11","78","568","23.9","0.7","576.828","43.185","1360.478","1308.799"
"1","2","12","96","583","24.9","0.5","604.846","46.37","1403.11","1349.995"
"1","2","13","118","551","26","2.1","584.349","41.305","1390.552","1337.862"
"1","2","14","188","413","25","0.5","489.818","42.972","1151.219","1106.289"
"1","2","15","157","330","23.7","1.5","364.516","34.17","888.156","851.005"
"1","2","16","87","232","22.5","2.6","221.449","27.453","551.971","523.616"
"1","2","17","21","96","22","1.9","82.067","23.238","211.904","191.14"
"1","2","18","0","6","21.4","1.2","5.401","19.837","14.272","0"
"1","2","19","0","0","20.9","0.5","0","20.9","0","0"
"1","2","20","0","0","20.6","1.2","0","20.6","0","0"
"1","2","21","0","0","20.4","1.9","0","20.4","0","0"
"1","2","22","0","0","20.1","2.6","0","20.1","0","0"
"1","2","23","0","0","19.4","2.2","0","19.4","0","0"
"1","3","0","0","0","18.7","1.9","0","18.7","0","0"
"1","3","1","0","0","18","1.5","0","18","0","0"
"1","3","2","0","0","18","1.9","0","18","0","0"
"1","3","3","0","0","17.5","2.2","0","17.5","0","0"
"1","3","4","0","0","17","2.6","0","17","0","0"
"1","3","5","0","8","16.9","2.6","7.206","15.323","19.438","2.389"
"1","3","6","144","91","18.6","3.4","79.934","18.914","200.6","180.067"
"1","3","7","220","213","20.3","4.1","242.035","24.315","593.782","564.403"
"1","3","8","218","333","21.7","3.9","396.464","29.505","984.638","944.725"
"1","3","9","223","413","23","3.8","512.834","33.723","1261.781","1213.348"
"1","3","10","118","553","24.4","3.6","586.464","37.165","1425.016","1371.155"
"1","3","11","219","494","24.8","2.7","627.856","39.96","1504.441","1447.83"
"1","3","12","220","494","25.1","1.9","628.701","42.067","1490.411","1434.291"
"1","3","13","223","454","25.5","1","580.259","44.027","1360.366","1308.691"
"1","3","14","188","414","26","1.5","491.249","40.231","1170.917","1125.373"
"1","3","15","158","331","26.6","2.1","366.372","36.093","884.336","847.292"
"1","3","16","88","233","27.1","2.6","222.892","32.152","543.149","515.007"
"1","3","17","63","92","25.9","2.6","79.15","26.995","197.406","176.938"
"1","3","18","0","7","24.8","2.6","6.303","23.638","16.366","0"
"1","3","19","0","0","23.6","2.6","0","23.6","0","0"
"1","3","20","0","0","23","1.9","0","23","0","0"
"1","3","21","0","0","22.5","1.2","0","22.5","0","0"
"1","3","22","0","0","21.9","0.5","0","21.9","0","0"
"1","3","23","0","0","21.5","0.3","0","21.5","0","0"
"1","4","0","0","0","21","0.2","0","21","0","0"
"1","4","1","0","0","20.6","0","0","20.6","0","0"
"1","4","2","0","0","20","1.2","0","20","0","0"
"1","4","3","0","0","19.5","2.4","0","19.5","0","0"
"1","4","4","0","0","18.9","3.6","0","18.9","0","0"
"1","4","5","0","6","18.9","3.6","5.401","17.504","14.425","0"
"1","4","6","63","79","19.9","3.6","69.667","19.998","179.089","158.989"
"1","4","7","72","204","21","3.6","195.582","24.129","495.942","468.929"
"1","4","8","86","318","22.4","3.6","321.211","28.646","807.936","773.001"
