wavelength radiance
0 infty
0 infty
3.452000000000e-01 2.380952380952e-03
3.520080402010e-01 2.474896528498e-03
3.588160804020e-01 2.568840676043e-03
3.656241206030e-01 2.662784823589e-03
3.724321608040e-01 2.756728971134e-03
3.792402010050e-01 2.850673118680e-03
3.860482412060e-01 2.944617266225e-03
3.928562814070e-01 3.038561413771e-03
3.996643216080e-01 3.132505561316e-03
4.064723618090e-01 3.226449708862e-03
4.132804020101e-01 3.320393856407e-03
4.200884422111e-01 3.414338003953e-03
4.268964824121e-01 3.508282151498e-03
4.337045226131e-01 3.602226299044e-03
4.405125628141e-01 3.696170446589e-03
4.473206030151e-01 3.790114594135e-03
4.541286432161e-01 3.884058741680e-03
4.609366834171e-01 3.978002889226e-03
4.677447236181e-01 4.071947036771e-03
4.745527638191e-01 4.165891184317e-03
4.813608040201e-01 4.259835331862e-03
4.881688442211e-01 4.353779479408e-03
4.949768844221e-01 4.447723626953e-03
5.017849246231e-01 4.541667774499e-03
5.085929648241e-01 4.635611922044e-03
5.154010050251e-01 4.729556069590e-03
5.222090452261e-01 4.983648400734e-03
5.290170854271e-01 5.321847331898e-03
5.358251256281e-01 5.660046263061e-03
5.426331658291e-01 5.998245194225e-03
5.494412060302e-01 6.336444125389e-03
5.562492462312e-01 6.674643056553e-03
5.630572864322e-01 7.012841987716e-03
5.698653266332e-01 7.767408470926e-03
5.766733668342e-01 8.782005264417e-03
5.834814070352e-01 1.088777219430e-02
5.902894472362e-01 9.676086057996e-03
5.970974874372e-01 1.013726641867e-02
6.039055276382e-01 1.059844677935e-02
6.107135678392e-01 1.105962714003e-02
6.175216080402e-01 1.152080750071e-02
6.243296482412e-01 1.207465900933e-02
6.311376884422e-01 1.308925580282e-02
6.379457286432e-01 1.410385259631e-02
6.447537688442e-01 1.488052507435e-02
6.515618090452e-01 1.560523706970e-02
6.583698492462e-01 1.632994906505e-02
6.651778894472e-01 1.720985881790e-02
6.719859296482e-01 1.822445561139e-02
6.787939698492e-01 1.923905240488e-02
6.856020100503e-01 2.025364919837e-02
6.924100502513e-01 2.126824599186e-02
6.992180904523e-01 2.249641062455e-02
7.060261306533e-01 2.376465661642e-02
7.128341708543e-01 2.503290260828e-02
7.196422110553e-01 2.633803940337e-02
7.264502512563e-01 2.802903405918e-02
7.332582914573e-01 2.943287867911e-02
7.400663316583e-01 3.070112467097e-02
7.468743718593e-01 3.230836723299e-02
7.536824120603e-01 3.533141899976e-02
7.604904522613e-01 4.274946159368e-02
7.672984924623e-01 1.558028236420e-01
7.741065326633e-01 4.075137592726e-02
7.809145728643e-01 4.199569274946e-02
7.877226130653e-01 4.225293132328e-02
7.945306532663e-01 4.414532982372e-02
8.013386934673e-01 4.583632447954e-02
8.081467336683e-01 4.752731913536e-02
8.149547738693e-01 4.921831379118e-02
8.217628140704e-01 5.136396267050e-02
8.285708542714e-01 5.390045465422e-02
8.353788944724e-01 5.587859934594e-02
8.421869346734e-01 5.778296243120e-02
8.489949748744e-01 6.005423945122e-02
8.558030150754e-01 6.174523410704e-02
8.626110552764e-01 6.420196219191e-02
8.694190954774e-01 6.673845417564e-02
8.762271356784e-01 6.927494615937e-02
8.830351758794e-01 7.181143814310e-02
8.898432160804e-01 7.434793012682e-02
8.966512562814e-01 7.688442211055e-02
9.034592964824e-01 7.942091409428e-02
9.102673366834e-01 8.195740607801e-02
9.170753768844e-01 8.449389806174e-02
9.238834170854e-01 8.703039004547e-02
9.306914572864e-01 8.956688202919e-02
9.374994974874e-01 9.210337401292e-02
9.443075376884e-01 9.463986599665e-02
9.511155778894e-01 9.836683417085e-02
9.579236180905e-01 1.009033261546e-01
9.647316582915e-01 1.044986838957e-01
9.715396984925e-01 1.071667863125e-01
9.783477386935e-01 1.098827470687e-01
9.851557788945e-01 1.134302464704e-01
9.919638190955e-01 1.159667384542e-01
9.987718592965e-01 1.229241445322e-01
1.005579899497e+00 1.293730557550e-01
1.012387939698e+00 1.328667145250e-01
1.019195979899e+00 1.379396984925e-01
1.026004020101e+00 1.406317300790e-01
1.032812060302e+00 1.457047140464e-01
1.039620100503e+00 1.503888490069e-01
1.046428140704e+00 1.534697296004e-01
1.053236180905e+00 1.585427135678e-01
1.060044221106e+00 1.636156975353e-01
1.066852261307e+00 1.676776740847e-01
1.073660301508e+00 1.713807130893e-01
1.080468341709e+00 1.764536970567e-01
1.087276381910e+00 1.815266810242e-01
1.094084422111e+00 1.865996649916e-01
1.100892462312e+00 1.898839435272e-01
1.107700502513e+00 1.943646805456e-01
1.114508542714e+00 1.994376645130e-01
1.121316582915e+00 2.045106484805e-01
1.128124623116e+00 2.095836324480e-01
1.134932663317e+00 2.146566164154e-01
1.141740703518e+00 2.221105527638e-01
1.148548743719e+00 2.271835367313e-01
1.155356783920e+00 2.322565206987e-01
1.162164824121e+00 2.373295046662e-01
1.168972864322e+00 2.424024886336e-01
1.175780904523e+00 2.474754726011e-01
1.182588944724e+00 2.501675041876e-01
1.189396984925e+00 2.552404881551e-01
1.196205025126e+00 2.603134721225e-01
1.203013065327e+00 2.653864560900e-01
1.209821105528e+00 2.704594400574e-01
1.216629145729e+00 2.755324240249e-01
1.223437185930e+00 2.806054079923e-01
1.230245226131e+00 2.856783919598e-01
1.237053266332e+00 2.907513759273e-01
1.243861306533e+00 2.964106245513e-01
1.250669346734e+00 3.032782962431e-01
1.257477386935e+00 3.083512802106e-01
1.264285427136e+00 3.134242641780e-01
1.271093467337e+00 3.184972481455e-01
1.277901507538e+00 3.259511844939e-01
1.284709547739e+00 3.310241684614e-01
1.291517587940e+00 3.384781048098e-01
1.298325628141e+00 3.435510887772e-01
1.305133668342e+00 3.486240727447e-01
1.311941708543e+00 3.536970567121e-01
1.318749748744e+00 3.587700406796e-01
1.325557788945e+00 3.657812873893e-01
1.332365829146e+00 3.781765972721e-01
1.339173869347e+00 3.910145967935e-01
1.345981909548e+00 3.966618808327e-01
1.352789949749e+00 3.936348408710e-01
1.359597989950e+00 3.862706389088e-01
1.366406030151e+00 3.909428092845e-01
1.373214070352e+00 3.993539124192e-01
1.380022110553e+00 3.977865518067e-01
1.386830150754e+00 4.094520220148e-01
1.393638190955e+00 4.168102416846e-01
1.400446231156e+00 4.196458482891e-01
1.407254271357e+00 4.280090930845e-01
1.414062311558e+00 4.369346733668e-01
1.420870351759e+00 4.420076573343e-01
1.427678391960e+00 4.470806413017e-01
1.434486432161e+00 4.510768126346e-01
1.441294472362e+00 4.548456568557e-01
1.448102512563e+00 4.599186408232e-01
1.454910552764e+00 4.646386695382e-01
1.461718592965e+00 4.676836563771e-01
1.468526633166e+00 4.727566403446e-01
