wavelength radiance
0 infty
0 infty
0.000000000000e+00 1.286173633441e+01
1.256281407035e-02 1.321056492240e+01
2.512562814070e-02 1.355939351039e+01
3.768844221106e-02 1.390822209838e+01
5.025125628141e-02 1.425705068638e+01
6.281407035176e-02 1.460587927437e+01
7.537688442211e-02 1.495470786236e+01
8.793969849246e-02 1.530353645035e+01
1.005025125628e-01 1.565236503835e+01
1.130653266332e-01 1.600119362634e+01
1.256281407035e-01 1.635002221433e+01
1.381909547739e-01 1.669885080232e+01
1.507537688442e-01 1.704767939032e+01
1.633165829146e-01 1.739650797831e+01
1.758793969849e-01 1.774533656630e+01
1.884422110553e-01 1.809416515429e+01
2.010050251256e-01 1.844299374229e+01
2.135678391960e-01 1.879182233028e+01
2.261306532663e-01 1.914065091827e+01
2.386934673367e-01 1.948947950626e+01
2.512562814070e-01 1.983830809426e+01
2.638190954774e-01 2.018713668225e+01
2.763819095477e-01 2.053596527024e+01
2.889447236181e-01 2.088479385823e+01
3.015075376884e-01 2.123362244623e+01
3.140703517588e-01 2.158245103422e+01
3.266331658291e-01 2.193127962221e+01
3.391959798995e-01 2.228010821020e+01
3.517587939698e-01 2.262893679820e+01
3.643216080402e-01 2.297776538619e+01
3.768844221106e-01 2.332659397418e+01
3.894472361809e-01 2.367542256217e+01
4.020100502513e-01 2.402425115017e+01
4.145728643216e-01 2.437307973816e+01
4.271356783920e-01 2.472190832615e+01
4.396984924623e-01 2.507073691414e+01
4.522613065327e-01 2.541956550214e+01
4.648241206030e-01 2.635686470940e+01
4.773869346734e-01 3.127534780009e+01
4.899497487437e-01 3.619383089079e+01
5.025125628141e-01 3.813278611708e+01
5.150753768844e-01 4.833169060738e+01
5.276381909548e-01 5.984908465155e+01
5.402010050251e-01 7.475749594705e+01
5.527638190955e-01 8.765693418863e+01
5.653266331658e-01 1.075473832183e+02
5.778894472362e-01 1.239423268540e+02
5.904522613065e-01 1.590589603968e+02
6.030150753769e-01 1.743767066845e+02
6.155778894472e-01 2.018129231366e+02
6.281407035176e-01 2.368110649712e+02
6.407035175879e-01 2.704842540678e+02
6.532663316583e-01 3.141753785002e+02
6.658291457286e-01 3.580603984553e+02
6.783919597990e-01 4.180387467886e+02
6.909547738693e-01 4.585629110181e+02
7.035175879397e-01 5.035466722681e+02
7.160804020101e-01 5.655932395094e+02
7.286432160804e-01 6.353633117355e+02
7.412060301508e-01 6.896863739921e+02
7.537688442211e-01 7.774564139023e+02
7.663316582915e-01 1.499329444651e+03
7.788944723618e-01 9.156392896961e+02
7.914572864322e-01 9.872513693871e+02
8.040201005025e-01 1.051366155537e+03
8.165829145729e-01 1.126274459112e+03
8.291457286432e-01 1.203444877119e+03
8.417085427136e-01 1.301814538933e+03
8.542713567839e-01 1.350999369840e+03
8.668341708543e-01 1.424162613712e+03
8.793969849246e-01 1.522532275526e+03
8.919597989950e-01 1.576047439771e+03
9.045226130653e-01 1.663494320477e+03
9.170854271357e-01 1.730937646432e+03
9.296482412060e-01 1.800449191294e+03
9.422110552764e-01 1.875357494870e+03
9.547738693467e-01 1.963127534780e+03
9.673366834171e-01 1.828564042075e+03
9.798994974874e-01 1.855709415243e+03
9.924623115578e-01 1.930617718819e+03
1.005025125628e+00 1.979802549726e+03
1.017587939698e+00 2.067572589636e+03
1.030150753769e+00 2.142480893212e+03
1.042713567839e+00 2.196836271389e+03
1.055276381910e+00 2.279435764029e+03
1.067839195980e+00 2.328620594936e+03
1.080402010050e+00 2.390667162177e+03
1.092964824121e+00 2.439851993084e+03
1.105527638191e+00 2.488455137423e+03
1.118090452261e+00 2.525359918564e+03
1.130653266332e+00 2.560584271842e+03
1.143216080402e+00 2.598006107709e+03
1.155778894472e+00 2.648354311752e+03
1.168341708543e+00 2.709237505857e+03
1.180904522613e+00 2.745560600430e+03
1.193467336683e+00 2.781883695002e+03
1.206030150754e+00 2.843930262244e+03
1.218592964824e+00 2.880253356816e+03
1.231155778894e+00 2.929438187723e+03
1.243718592965e+00 2.978623018630e+03
1.256281407035e+00 3.050881416730e+03
1.268844221106e+00 3.109502496405e+03
1.281407035176e+00 3.152676566110e+03
1.293969849246e+00 3.199599282587e+03
1.306532663317e+00 3.217712355992e+03
1.319095477387e+00 3.235146795069e+03
1.331658291457e+00 3.345861138490e+03
1.344221105528e+00 3.541630984505e+03
1.356783919598e+00 3.485465914783e+03
1.369346733668e+00 3.448044078915e+03
1.381909547739e+00 3.497875228231e+03
1.394472361809e+00 3.568840989513e+03
1.407035175879e+00 3.621903730873e+03
1.419597989950e+00 3.686492483856e+03
1.432160804020e+00 3.665918014510e+03
1.444723618090e+00 3.622873208486e+03
1.457286432161e+00 3.580733248235e+03
1.469849246231e+00 3.548029536751e+03
1.482412060302e+00 3.532970317827e+03
1.494974874372e+00 3.517232464574e+03
1.507537688442e+00 3.499749551617e+03
1.520100502513e+00 3.483720855079e+03
1.532663316583e+00 3.464492882419e+03
1.545226130653e+00 3.467950685905e+03
1.557788944724e+00 3.449401347574e+03
1.570351758794e+00 3.446921100680e+03
1.582914572864e+00 3.440772996817e+03
1.595477386935e+00 3.434624892954e+03
1.608040201005e+00 3.425112701773e+03
1.620603015075e+00 3.416974629694e+03
1.633165829146e+00 3.409948225279e+03
1.645728643216e+00 3.402015436238e+03
1.658291457286e+00 3.393481878848e+03
1.670854271357e+00 3.383644912666e+03
1.683417085427e+00 3.347703145955e+03
1.695979899497e+00 3.321624198161e+03
1.708542713568e+00 3.314505462545e+03
1.721105527638e+00 3.307479058129e+03
1.733668341709e+00 3.325739092030e+03
1.746231155779e+00 3.342134035666e+03
1.758793969849e+00 3.391491218149e+03
1.771356783920e+00 3.642456656272e+03
1.783919597990e+00 3.723634248412e+03
1.796482412060e+00 3.814118825639e+03
1.809045226131e+00 3.759828079303e+03
1.821608040201e+00 3.659196303059e+03
1.834170854271e+00 3.635508733377e+03
1.846733668342e+00 3.746513920083e+03
1.859296482412e+00 3.821874646545e+03
1.871859296482e+00 3.573300586534e+03
1.884422110553e+00 3.435957924672e+03
1.896984924623e+00 3.321301038957e+03
1.909547738693e+00 3.300748113558e+03
1.922110552764e+00 3.383800029084e+03
1.934673366834e+00 3.507957795408e+03
1.947236180905e+00 3.543117516845e+03
1.959798994975e+00 3.516876989449e+03
1.972361809045e+00 3.447225408931e+03
1.984924623116e+00 3.391879009194e+03
1.997487437186e+00 3.330963499168e+03
2.010050251256e+00 3.268690720483e+03
2.022613065327e+00 3.214787765193e+03
2.035175879397e+00 3.131735849666e+03
2.047738693467e+00 3.043965809756e+03
2.060301507538e+00 2.956195769846e+03
2.072864321608e+00 2.881287466270e+03
